id,created_at,text
1194352272437907458,2019-11-12 20:32:26,"b'RT @WhiteHouse: Under President @realDonaldTrump, unemployment hit its lowest rate in 51 YEARS! Blue-collar jobs are leading the way. \xf0\x9f\x92\xaa htt\xe2\x80\xa6'"
1194352271540264960,2019-11-12 20:32:26,b'RT @WhiteHouse: Nikki Haley: President @realDonaldTrump has built up a long list of tough achievements on the world stage\xe2\x80\x94and Democrats hav\xe2\x80\xa6'
1194352160517107714,2019-11-12 20:31:59,"b'RT @WhiteHouse: Newt Gingrich: ""What you have is a coup being orchestrated by left-wingers in the bureaucracy, left-wingers in the news med\xe2\x80\xa6'"
1194288891169300482,2019-11-12 16:20:35,b'RT @realDonaldTrump: A total Impeachment Scam by the Do Nothing Democrats! https://t.co/aFTQe293JF'
1194220268677410821,2019-11-12 11:47:54,"b'RT @realDonaldTrump: Many of the people in DACA, no longer very young, are far from \xe2\x80\x9cangels.\xe2\x80\x9d Some are very tough, hardened criminals. Pres\xe2\x80\xa6'"
1194219424921915392,2019-11-12 11:44:33,"b'RT @realDonaldTrump: I will be releasing the transcript of the first, and therefore more important, phone call with the Ukrainian President\xe2\x80\xa6'"
1194219424338841600,2019-11-12 11:44:32,b'RT @realDonaldTrump: Economy is BOOMING. Seems set to have yet another record day!'
1194215393008771072,2019-11-12 11:28:31,"b'RT @realDonaldTrump: ....Ukrainian energy company, and more millions taken from China, and now reports of other companies and countries als\xe2\x80\xa6'"
1194215258396807169,2019-11-12 11:27:59,"b'RT @realDonaldTrump: .....\xe2\x80\x9dno pressure\xe2\x80\x9d put on him to investigate Sleepy Joe Biden even though, as President, I have an \xe2\x80\x9cobligation\xe2\x80\x9d to loo\xe2\x80\xa6'"
1194215258396774401,2019-11-12 11:27:59,"b'RT @realDonaldTrump: Why is such a focus put on 2nd and 3rd hand witnesses, many of whom are Never Trumpers, or whose lawyers are Never Tru\xe2\x80\xa6'"
1194068619895988224,2019-11-12 01:45:18,"b'RT @realDonaldTrump: \xe2\x80\x9cThis isn\xe2\x80\x99t about Ukraine. This isn\xe2\x80\x99t about Impeachment. This is about subverting Democracy!\xe2\x80\x9d @BillOReilly So true, an\xe2\x80\xa6'"
1194068505940942849,2019-11-12 01:44:51,b'RT @realDonaldTrump: ....want that to be an impeachable offense? Good luck with that!\xe2\x80\x9d @JesseBWatters @FoxNews'
1194068383731519489,2019-11-12 01:44:22,"b'RT @realDonaldTrump: Schiff and the Dems have created this whole thing, they reverse engineer it. They\xe2\x80\x99ve been vowing to impeach for three\xe2\x80\xa6'"
1194068383714742273,2019-11-12 01:44:22,"b'RT @realDonaldTrump: \xe2\x80\x9cThe President has until September 30th to give this aid to Ukraine. He gets it out on September 11th., 3 weeks before\xe2\x80\xa6'"
1194068275380064257,2019-11-12 01:43:56,"b'RT @realDonaldTrump: In order to continue being the most Transparent President in history, I will be releasing sometime this week the Trans\xe2\x80\xa6'"
1194068160816861184,2019-11-12 01:43:28,"b'RT @realDonaldTrump: Just like Schiff fabricated my phone call, he will fabricate the transcripts that he is making and releasing!'"
